screen_size,memory_gb,storage_gb,cpu_cores,cpu_frequency,gpu_score,main_camera_mp,front_camera_mp,camera_count,battery_mah,fast_charging_w,brand,has_5g,waterproof,wireless_charging,price_category
5.749080237694725,16,256,4,2.635590221125082,31663.463123632562,64,32,2,5919,120,Huawei,1,0,1,Premium
6.44399754453365,6,512,4,2.6644741134788035,47517.056394544634,48,12,2,3747,18,Apple,0,0,0,Flagship
5.278987721304084,12,512,8,2.4384979779038503,37410.50078151499,64,32,5,4528,65,OnePlus,0,0,0,Premium
5.9009985039390855,6,512,4,3.1518848463043834,61954.40933825217,48,12,2,5612,33,Xiaomi,1,0,1,Premium
5.244076469689558,16,256,6,2.3474848506025374,61322.25653562082,48,12,3,4129,120,Google,0,0,1,Premium
6.550265646722229,6,128,6,3.0973224121113123,35910.93099246819,64,32,4,3455,33,Sony,1,0,1,Premium
5.650660661526529,16,128,8,2.960232512812701,23066.438052773075,108,8,2,4180,65,OnePlus,0,0,0,Premium
5.846802961412739,4,512,8,2.941645999836768,32388.17467905787,12,32,4,3418,18,Huawei,0,1,0,Mid-range
6.302154051003889,12,64,6,1.933574163086576,79378.82570864784,12,16,5,4895,33,Huawei,0,0,0,Mid-range
5.239188491876604,8,64,4,2.5857880765972947,27522.03330919927,64,12,4,5842,18,Sony,0,1,1,Premium
5.8786730037315404,8,64,4,2.511998967630584,45606.56224324976,12,16,4,3540,120,OnePlus,1,0,0,Mid-range
6.389569866079409,12,128,6,2.931368531390184,57142.25143023493,12,8,3,3795,120,Xiaomi,1,1,1,Premium
6.766560517837736,6,512,4,2.2452048649606096,44867.39634614891,48,8,5,3972,18,Huawei,0,1,1,Mid-range
6.0681788387508835,16,64,8,2.17717726731793,42643.48551734477,108,16,4,4631,120,Apple,1,0,1,Flagship
6.943564165441922,12,512,6,2.7748259819757037,34833.45758963516,108,8,4,5160,33,Samsung,1,1,0,Flagship
5.557292928473223,4,64,8,2.7529876321766737,59148.312974382854,12,32,3,4695,33,Sony,1,0,0,Premium
5.739308912122809,4,1024,6,2.6869415950652527,32387.183629404615,12,8,5,3186,33,OnePlus,0,1,1,Mid-range
6.355128723684565,8,128,8,2.9333014645956017,51537.89897169143,108,32,4,4843,18,Apple,1,1,0,Flagship
6.873459977473469,4,256,4,1.9588629297368247,66270.3443473934,48,32,2,3880,33,Apple,1,1,1,Premium
6.116586907214195,8,64,4,2.2888934044577254,25382.713671320897,108,32,4,3403,120,Google,1,0,1,Premium
6.701856897535025,4,512,6,2.7365835565999204,13003.94125671537,12,16,2,4884,33,Google,1,1,1,Premium
5.896848285972495,16,64,4,1.8253055090617292,73372.62486901067,48,8,5,4527,120,Sony,0,0,1,Premium
6.136617206670943,12,256,8,2.6908656654602536,60792.184031673314,48,8,4,5485,120,Huawei,0,1,0,Premium
6.005274186210384,12,64,4,2.1222593755381776,20034.087252561385,108,16,5,3546,120,Apple,1,0,1,Flagship
6.880917168705828,16,1024,6,2.318222180357622,59464.7524914709,64,32,2,4139,65,OnePlus,0,1,0,Premium
5.536949713780314,8,128,4,2.352568053533261,48543.42174686254,48,12,4,4895,33,Samsung,1,0,1,Premium
5.717293562592328,8,128,6,2.251571069934041,58995.48076977467,48,16,3,4890,33,Apple,1,0,1,Flagship
6.022684797721876,4,512,4,2.071983534916859,85578.48687771923,108,32,3,3399,33,Xiaomi,0,0,0,Mid-range
5.751165905279888,6,256,4,2.017058263418842,41744.76773619787,48,12,4,4077,65,Xiaomi,0,0,1,Mid-range
6.539987106197222,12,512,4,2.44017122625922,61912.87303608643,48,8,5,5931,33,Sony,0,0,1,Premium
6.452182667445323,16,128,6,2.2521390621177444,36764.27070463224,108,12,4,4369,18,Samsung,0,1,0,Premium
5.856628949880216,12,1024,4,2.0426120480991843,67048.66669592448,12,16,3,4119,33,Google,1,0,1,Premium
6.869227994679419,4,1024,8,2.719955859900234,83109.23250757842,64,32,3,4679,65,OnePlus,1,0,0,Premium
5.232145281013833,16,64,6,2.9976448176154102,40741.49155872704,108,8,5,5959,33,Samsung,1,0,0,Flagship
5.692608642178802,16,128,6,3.1288040242279402,43512.09104865201,48,12,4,5489,120,Apple,1,0,0,Flagship
5.325868854162859,6,64,8,2.9213290125553595,60492.18001261018,108,12,4,5427,18,Apple,0,0,0,Flagship
6.88292961755305,8,64,4,2.712078680600903,36620.5034536663,108,16,3,5546,33,Huawei,0,0,1,Premium
5.637951260587522,6,128,6,2.2768743972499363,32638.31549191025,64,8,4,3825,18,Samsung,0,0,0,Premium
5.078372653351293,4,1024,4,2.1948484015998293,61034.74020930149,108,16,2,4122,120,Xiaomi,1,0,0,Mid-range
6.161088024687819,16,512,4,2.7517826918603445,35797.44084145033,64,8,4,3872,33,Apple,0,1,1,Flagship
